TRIP_ID,USER_ID,NUM_POINTS,TOTAL_DISTANCE_KM,DURATION_SEC,DURATION_MIN,AVG_SPEED_KMH,MAX_SPEED_KMH,AVG_ACCELERATION,START_TIME,END_TIME
001,Bullis1,929,3825.601,2315773.0,38596.22,38.43,111.1,-0.035,2011-06-01 13:03:28,2011-06-28 08:19:41
002,Bullis1,627,3032.045,1163965.0,19399.42,40.97,129.0,-0.0081,2011-06-02 07:47:04,2011-06-15 19:06:29
003,Bullis1,825,4957.398,1262750.0,21045.83,47.82,142.0,-0.0219,2011-06-02 10:29:57,2011-06-17 01:15:47
004,Bullis1,888,5344.979,1396060.0,23267.67,50.96,136.0,-0.0091,2011-06-02 12:26:19,2011-06-18 16:13:59
005,Bullis1,818,5159.095,1489079.0,24817.98,58.56,132.19,-0.0267,2011-06-03 09:10:16,2011-06-20 14:48:15
006,Bullis1,1006,5640.003,1653825.0,27563.75,50.78,127.2,-0.0218,2011-06-03 11:15:17,2011-06-22 14:39:02
007,Bullis1,1076,8644.735,1755710.0,29261.83,61.03,131.6,-0.0191,2011-06-03 12:27:45,2011-06-23 20:09:35
008,Bullis1,729,6025.369,7521803.0,125363.38,63.33,129.69,-0.0193,2011-06-03 13:23:34,2011-08-29 14:46:57
009,Bullis1,627,4133.508,1226588.0,20443.13,52.56,121.1,-0.0092,2011-06-07 11:44:27,2011-06-21 16:27:35
010,Bullis1,461,2013.996,1300114.0,21668.57,42.87,94.6,-0.0399,2011-06-07 17:19:15,2011-06-22 18:27:49
011,Bullis1,397,2313.983,1325740.0,22095.67,51.44,123.2,-0.0053,2011-06-08 05:58:03,2011-06-23 14:13:43
012,Bullis1,484,1958.3,1067215.0,17786.92,44.89,115.0,-0.0126,2011-06-08 09:56:31,2011-06-20 18:23:26
013,Bullis1,538,2970.025,1118049.0,18634.15,47.56,110.8,-0.0208,2011-06-08 18:37:54,2011-06-21 17:12:03
014,Bullis1,656,4326.647,1160050.0,19334.17,51.18,118.3,-0.0121,2011-06-09 05:57:03,2011-06-22 16:11:13
015,Bullis1,689,5203.509,1249086.0,20818.1,49.27,115.6,-0.0349,2011-06-09 07:28:51,2011-06-23 18:26:57
016,Bullis1,452,2899.144,1247017.0,20783.62,54.8,120.3,-0.0058,2011-06-09 08:46:01,2011-06-23 19:09:38
